Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	24.745342	13.853394	88.0	8.0	24.745342	-0.15606807	0.067498714	0.07931556	-0.35175478	4000	0.15313412	0.15313412	1.2739277	-0.007108808	337.5422	0.0	-251.03372	0.6919362	2.2351741e-10	0.4937427043914795
1	26.653334	15.432427	88.0	10.0	26.653334	15.097287	4.780658	20.887136	1.8289149	8000	0.19003873	0.19003873	0.19380987	-0.012220935	100.808655	0.0	-11.84613	0.69116354	-5.5134297e-10	0.9523987770080566
2	25.8	14.334438	93.0	10.0	25.8	15.639455	6.7024503	24.028727	1.3664186	12000	0.19488941	0.19488941	0.19260684	-0.017218743	82.30999	0.0	-6.432907	0.6898492	1.4901162e-11	1.4064373970031738
3	27.666666	15.298875	88.0	9.0	27.666666	15.6243515	6.4581857	22.569311	0.71292967	16000	0.19389278	0.19389278	0.1640379	-0.020385336	86.2582	0.0	-2.0527267	0.68826914	-8.940697e-11	1.851306438446045
4	27.853148	16.122763	120.0	10.0	27.853148	15.977988	6.807902	23.709032	0.661248	20000	0.19370364	0.19370364	0.08373699	-0.02447758	96.610306	0.0	-0.89714813	0.6864044	-1.4156103e-10	2.306959390640259
5	27.964788	18.818785	120.0	9.0	27.964788	15.871143	6.9648566	23.553047	0.45129317	24000	0.18609154	0.18609154	0.17631754	-0.025494225	133.96506	0.0	-6.7199326	0.6843781	-2.2351742e-11	2.781785726547241
6	27.241379	14.900255	81.0	8.0	27.241379	17.147188	7.8142266	26.971947	0.3235504	28000	0.18648905	0.18648905	0.1582248	-0.030101972	88.08021	0.0	-7.720978	0.6823882	-5.662441e-10	3.241297483444214
7	29.411764	16.14979	82.0	10.0	29.411764	16.190802	6.9997516	24.272085	0.5355321	32000	0.17965512	0.17965512	0.18210675	-0.03167925	85.72324	0.0	-2.0809402	0.6807537	-2.384186e-10	3.6867716312408447
8	31.171875	16.712227	88.0	10.0	31.171875	17.232655	7.4489975	25.493721	0.66591597	36000	0.17374904	0.17374904	0.15763044	-0.03317167	94.86593	0.0	-3.7380981	0.67823523	7.0780515e-10	4.125041723251343
9	28.977777	13.84061	67.0	10.0	28.977777	17.552765	7.6378484	25.426025	0.2299946	40000	0.1899985	0.1899985	0.1704673	-0.03999422	72.69903	0.0	-3.7947464	0.67576337	-3.6507844e-10	4.593806743621826
10	31.666666	18.05459	87.0	10.0	31.666666	16.635283	7.2528296	25.332445	0.5334641	44000	0.16967909	0.16967909	0.18106188	-0.037710853	108.959984	0.0	-8.320396	0.67301416	-7.2270634e-10	5.045827627182007
11	32.69672	17.075478	111.0	11.0	32.69672	18.01682	7.9032273	26.673979	-0.5018676	48000	0.16518529	0.16518529	0.14865163	-0.03858691	94.92486	0.0	0.0017318726	0.67182523	-1.5646219e-10	5.500258684158325
12	34.938595	19.601864	104.0	11.0	34.938595	18.07322	7.634654	26.596167	0.9625382	52000	0.15418212	0.15418212	0.14175467	-0.036607537	132.11089	0.0	-16.095673	0.66911584	2.1606683e-10	5.947682857513428
13	33.68644	18.096117	108.0	11.0	33.68644	19.900114	8.553256	29.18988	-1.0458125	56000	0.15934765	0.15934765	0.16426632	-0.04020367	109.09176	0.0	-8.552513	0.66737884	-3.6507844e-10	6.386578798294067
14	32.68033	16.484104	108.0	10.0	32.68033	18.788754	8.546457	29.7722	-0.04064229	60000	0.18363327	0.18363327	0.1893476	-0.047400128	84.811195	0.0	-4.195114	0.66485906	-3.054738e-10	6.847240686416626
15	39.88	25.047667	157.0	10.0	39.88	17.952398	7.8840528	27.702011	0.32846597	64000	0.13361605	0.13361605	0.1528089	-0.03796063	176.9166	0.0	-27.03453	0.66497463	-6.854534e-10	7.297426223754883
16	38.524754	21.668337	126.0	12.0	38.524754	23.088976	10.00911	34.136818	0.8417783	68000	0.12747708	0.12747708	0.1163099	-0.03868652	145.2325	0.0	-6.7290955	0.66293746	1.0281801e-09	7.7455973625183105
17	35.54054	17.99188	85.0	11.0	35.54054	21.795761	9.756831	32.22905	0.58461213	72000	0.16953424	0.16953424	0.9810312	-0.049605962	87.37806	0.0	-6.374321	0.65999186	-3.7252902e-11	8.196401357650757
18	38.095238	19.508984	105.0	12.0	38.095238	19.067167	9.280432	28.913399	0.4454761	76000	0.13943146	0.13943146	0.1337138	-0.045162413	102.71228	0.0	-4.943077	0.6569753	-1.1026859e-09	8.638768911361694
19	39.909092	22.766754	142.0	12.0	39.909092	20.612892	9.040022	31.338202	0.8948035	80000	0.14637852	0.14637852	0.18375713	-0.041433554	136.61552	0.0	-8.691589	0.65553015	-1.2665988e-10	9.092036485671997
20	43.53846	24.13529	145.0	14.0	43.53846	22.251211	9.993119	34.313965	0.6064867	84000	0.108879864	0.108879864	0.10418667	-0.03875455	155.3618	0.0	-13.080017	0.6528453	1.1846423e-09	9.572899341583252
21	39.59406	24.41521	161.0	12.0	39.59406	24.384895	9.987343	35.209396	0.9962613	88000	0.12617989	0.12617989	0.10340829	-0.04450054	149.14392	0.0	-5.2552032	0.6528827	-3.054738e-10	10.01804518699646
22	42.731182	20.889439	104.0	12.0	42.731182	22.652878	10.656328	35.684315	0.009630501	92000	0.13150881	0.13150881	0.11248339	-0.04733958	102.69509	0.0	-5.4536133	0.65241164	-1.9297004e-09	10.480758905410767
23	37.28302	18.46044	137.0	12.0	37.28302	20.911171	10.513369	36.511826	-0.8688314	96000	0.13404545	0.13404545	0.1692101	-0.05054976	117.09715	0.0	-19.432167	0.6470533	1.4901161e-10	10.97654390335083
24	42.553192	23.007223	130.0	13.0	42.553192	21.354021	8.745319	33.120697	0.40798715	100000	0.11614654	0.11614654	0.12363779	-0.043258026	133.62999	0.0	-18.130936	0.6486898	9.1642144e-10	11.421549081802368
25	42.17021	19.890465	130.0	15.0	42.17021	22.863583	10.697379	37.349968	0.8421688	104000	0.1331116	0.1331116	0.13169613	-0.045375794	104.88342	0.0	-3.6900253	0.6467723	5.2899124e-10	11.865519762039185
26	47.903614	23.673285	111.0	13.0	47.903614	21.72662	10.100504	33.309586	-0.3489511	108000	0.10110792	0.10110792	0.111905225	-0.033384036	137.08698	0.0	-10.570694	0.6463769	-1.2665987e-09	12.319873094558716
27	44.797752	25.227585	151.0	13.0	44.797752	24.906713	10.571043	36.12579	-0.20803592	112000	0.13517547	0.13517547	0.08967291	-0.049168956	143.51883	0.0	-7.62352	0.64491606	-6.1839817e-10	12.769606351852417
28	46.95294	25.539316	163.0	16.0	46.95294	23.094923	11.266591	37.829742	-0.047814786	116000	0.11028538	0.11028538	0.10221721	-0.036213454	170.068	0.0	-16.407608	0.6421058	5.960465e-11	13.219120025634766
29	44.066666	18.047344	99.0	14.0	44.066666	24.01063	10.96881	37.358494	-0.11553341	120000	0.11950386	0.11950386	0.10600477	-0.047479216	98.049484	0.0	-14.584793	0.64238656	-7.9721213e-10	13.677016019821167
30	45.58621	23.610123	109.0	15.0	45.58621	22.42703	9.948955	35.212093	0.85931444	124000	0.15806706	0.15806706	0.1625216	-0.041584305	123.324135	0.0	-4.4852905	0.63935256	-2.384186e-10	14.134381294250488
31	46.95294	24.873753	141.0	11.0	46.95294	22.695625	11.317504	38.045746	-1.0523922	128000	0.10299968	0.10299968	0.11362293	-0.042023543	152.62883	0.0	-14.284363	0.63648343	-3.2037498e-10	14.594023942947388
32	50.58228	25.369476	142.0	13.0	50.58228	25.39657	10.414666	37.876472	-1.1425368	132000	0.09261982	0.09261982	0.09798132	-0.041506	137.60643	0.0	-5.4979553	0.6355849	-3.427267e-10	15.053098678588867
33	49.04938	23.742914	127.0	13.0	49.04938	25.51012	11.875401	38.84223	0.2672196	136000	0.1066959	0.1066959	0.12864508	-0.04595097	107.50152	0.0	-2.404808	0.63469726	1.4156103e-10	15.503620386123657
34	46.70238	21.56153	102.0	12.0	46.70238	24.836031	11.917156	39.48113	-0.28592208	140000	0.10325676	0.10325676	0.12674807	-0.043122414	104.1383	0.0	-7.8116455	0.6331524	-3.054738e-10	15.967890501022339
