Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	23.25	12.7631035	82.0	9.0	23.25	0.07819524	0.028497245	0.15976027	-0.009799309	4000	0.11807531	0.11807531	0.24286914	-0.0041897744	292.618	0.0	-223.68939	0.69219923	3.874302e-10	1.250549077987671
1	24.036144	12.990215	73.0	9.0	24.036144	14.226631	5.2237678	22.480959	1.1161088	8000	0.18710145	0.18710145	0.17062838	-0.010691932	72.79943	0.0	-8.499413	0.6919075	-3.7252904e-10	1.717548131942749
2	23.4	11.095521	60.0	9.0	23.4	14.478621	5.8785043	20.880203	0.8721814	12000	0.19593892	0.19593892	0.17014481	-0.01491117	47.795742	0.0	-2.9834251	0.69083446	-1.937151e-10	2.1776723861694336
3	25.793549	13.034295	81.0	8.0	25.793549	13.593336	5.9061866	20.458252	0.73063165	16000	0.18156919	0.18156919	0.17047954	-0.016961863	71.67092	0.0	-5.2100983	0.6896663	-8.9406965e-10	2.6298410892486572
4	26.966217	13.03862	94.0	9.0	26.966217	14.923268	6.095986	22.143745	0.044466734	20000	0.17071126	0.17071126	0.19121714	-0.019176615	67.85308	0.0	-2.714119	0.68867177	-6.854534e-10	3.0711793899536133
5	27.342657	14.813575	88.0	10.0	27.342657	14.908387	6.374995	22.142637	0.9043416	24000	0.18304978	0.18304978	0.1698012	-0.02306216	89.83814	0.0	-2.8630981	0.68711066	-2.9802322e-10	3.543109178543091
6	25.544872	13.2536125	69.0	9.0	25.544872	16.103909	7.1629276	23.97686	0.28539586	28000	0.18642509	0.18642509	0.14991014	-0.027413566	59.552902	0.0	-2.4654694	0.6850563	-6.780028e-10	3.9952685832977295
7	26.423841	14.490205	74.0	10.0	26.423841	15.180428	6.8979197	24.436632	0.31050688	32000	0.198705	0.198705	0.20108911	-0.02957521	69.13333	0.0	-0.11373901	0.6831858	-4.693866e-10	4.444717168807983
8	27.356165	15.555355	106.0	9.0	27.356165	15.2582035	6.921485	23.203444	0.6270236	36000	0.15956993	0.15956993	0.16738565	-0.028724065	87.904205	0.0	-2.502327	0.6819656	3.2782554e-10	4.893624782562256
9	28.241135	18.78505	166.0	9.0	28.241135	14.863668	7.4185004	24.837706	-0.33245295	40000	0.155368	0.155368	0.16923334	-0.029722946	153.11053	0.0	-19.091873	0.67968386	-9.462238e-10	5.32262921333313
