Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	51.066658	68.10664	122.30379	-46.76819	732.8	-29.40086	0.053435408	-28.784567	-29.418036	112000	-1.0251999e-08	2043.713	-0.006652221	-66.21094	1.0696843	0.00834797	0.045	79.0	33.20173907279968
28	23.88696	72.89527	165.63281	-57.479088	499.7143	-27.847471	0.035784714	-27.4376	-27.864244	116000	1.168251e-08	2596.4465	-0.0088415835	-29.71753	1.0473962	0.0150396135	0.19	56.0	35.22010254859924
29	84.73478	75.51449	159.22449	-37.99116	839.0	-26.776983	0.04295852	-26.097595	-26.790968	120000	-3.838539e-08	2900.416	-0.0053269365	-90.88379	0.9995701	0.008296094	0.0985	79.0	36.9309561252594
30	111.81654	17.30577	129.01129	83.311386	1000.0	-24.96155	0.08358117	-23.72965	-24.983232	124000	-2.026558e-09	2329.4473	-0.007265908	-107.14673	1.0447984	0.015163518	0.14825	31.0	39.20790362358093
31	49.10849	70.91205	157.70937	-25.072168	653.3333	-22.931244	0.083798535	-22.01789	-22.964357	128000	1.8835069e-08	2147.653	-0.0076335254	-12.431641	1.0583155	0.015156037	0.151	70.0	41.274030447006226
32	44.143143	111.31306	144.1379	-135.4339	868.5	-22.10007	0.2682956	-19.4738	-22.184465	132000	3.4272671e-09	2755.3208	-0.010168156	-20.84668	0.99506456	0.009422661	0.0765	79.0	43.13604545593262
33	61.937775	80.94676	123.40696	-77.34598	872.25	-21.403532	0.06731894	-20.90921	-21.438364	136000	2.6702882e-08	2458.489	-0.0077416156	-23.721191	1.017327	0.009961931	0.05225	79.0	45.36265754699707
34	56.19051	77.62385	136.6802	-51.96197	752.4	-20.416998	0.05243711	-19.988297	-20.44504	140000	1.513958e-08	2681.2231	-0.007501988	-31.78711	0.95540667	0.0097366115	0.13825	79.0	47.09893608093262
35	47.099274	55.14377	135.49948	-10.499953	798.25	-19.232649	0.07013635	-18.09349	-19.26324	144000	7.1525574e-10	1617.858	-0.0058969413	-3.7130127	0.92310643	0.008013007	0.0795	79.0	49.09770321846008
36	86.93407	32.775192	125.20287	41.51408	1000.0	-18.780813	0.06329682	-18.326445	-18.810575	148000	2.014637e-08	1359.0497	-0.009272098	-100.52344	0.93276393	0.0072207786	0.13125	79.0	52.05997705459595
37	87.201744	41.665737	150.76463	37.92399	1000.0	-16.687868	0.10403944	-15.726569	-16.741196	152000	2.9206277e-08	1425.4875	-0.007855213	-66.00952	0.9015648	0.015023102	0.0875	45.0	54.629921674728394
38	91.480606	8.789069	103.43308	80.33679	1000.0	-14.853656	0.22621071	-13.4179125	-14.9821415	156000	1.2457371e-08	1071.7488	-0.0063385163	-213.20416	0.88098574	0.0058601927	0.0365	79.0	56.90719938278198
39	109.83789	13.839144	126.71074	89.79989	1000.0	-9.82102	2.0592985	-1.838947	-12.099744	160000	-6.9141386e-09	1864.596	-0.0060445154	-1031.9141	0.91149205	0.0041224905	0.05675	79.0	58.981528520584106
40	117.39832	55.626213	209.89357	66.16791	979.5	0.875321	11.872976	13.101727	-11.4378195	164000	-2.4676323e-08	2011.7212	-0.005902866	-320.6057	0.874644	0.0068031386	0.08275	79.0	61.476706981658936
41	90.1634	63.469666	197.87514	33.667625	980.75	14.185193	0.4730261	14.627369	13.235265	168000	-2.2113323e-08	1478.6517	-0.006826954	-96.612915	0.9175499	0.0019167303	0.089	79.0	64.01832056045532
42	113.48053	97.34556	222.3629	-37.54033	798.8	16.57663	0.13479634	16.763943	16.372717	172000	-1.859665e-08	3734.0244	-0.009746534	-78.5979	0.8911352	0.009060922	0.09975	79.0	65.97426390647888
43	49.416306	141.2295	199.42348	-103.30007	645.3333	18.7158	0.06304745	18.791353	18.495604	176000	-9.834767e-09	10072.234	-0.005250117	-16.69336	0.96462846	0.0039761993	0.0495	79.0	68.01419806480408
44	160.71858	80.61073	234.58005	4.80412	564.0	17.961004	0.075747885	18.05873	17.689419	180000	-1.0251999e-08	7496.675	-0.005450263	-673.2954	0.8982874	0.0062500974	0.06675	79.0	69.89674782752991
45	81.94173	67.6132	179.7383	-7.7887807	880.25	23.423567	0.070073925	23.481918	22.30039	184000	-4.4107438e-09	2082.456	-0.0057043657	-39.80005	0.84945655	0.007444126	0.0425	79.0	71.95949602127075
46	184.69847	52.344112	223.888	71.74992	602.3333	25.065378	0.029960724	25.101019	24.955357	188000	1.9192695e-08	6194.551	-0.004240149	-602.97363	0.84994227	0.007073201	0.02975	79.0	73.94197607040405
47	128.60365	96.20852	204.1313	-56.10801	749.6	30.025656	0.02553739	30.052889	29.929308	192000	1.3947487e-08	4246.302	-0.005751119	-139.70996	0.92023057	0.0044743265	0.081	79.0	75.92991423606873
48	75.05186	127.388	220.34409	-77.433495	577.0	32.615776	0.020848658	32.638203	32.49536	196000	-1.6689301e-09	7367.6265	-0.0075245057	-0.5341797	0.9160548	0.00971456	0.08125	79.0	77.54821634292603
49	79.45409	128.13797	207.07825	-100.150566	634.2	32.555	0.018715758	32.578083	32.471462	200000	-2.7418137e-09	5174.4805	-0.006112461	-4.9189453	0.94846237	0.011011167	0.104	79.0	79.76863074302673
