Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-493.875	16.205227	-451.0	-500.0	494.0	-0.011419852	0.23843987	0.5849434	-0.75730765	4000	0.02782285	0.02782285	0.00048210847	0.0030941258	6935.942	0.0	-6458.4014	1.0892962	7.1525574e-10	1.6637375354766846
1	-486.25	36.37908	-390.0	-500.0	486.375	-78.17308	12.936904	-12.450919	-90.563324	8000	0.030600185	0.030600185	0.0027210936	0.0005676112	498.016	0.0	-69.05771	1.089326	2.0861626e-10	2.313634157180786
2	-493.75	16.535946	-450.0	-500.0	493.875	-81.011314	13.083601	-3.3088045	-93.75375	12000	0.041173134	0.041173134	0.011307824	0.0039004765	459.06766	0.0	-2.8611145	1.0894322	-3.427267e-10	2.960716485977173
3	-463.375	51.38078	-369.0	-500.0	463.75	-76.277016	13.73482	30.182838	-93.94844	16000	0.05689492	0.05689492	0.0144258775	-0.00015932035	420.4088	0.0	-97.54648	1.0896053	-5.662441e-10	3.6087605953216553
4	-497.625	6.2836595	-481.0	-500.0	497.75	-82.472084	13.356532	-20.545277	-94.654724	20000	0.052579496	0.052579496	0.014099668	-0.0040056487	454.9112	0.0	-46.352173	1.0895426	-1.1920929e-09	4.255710601806641
5	-481.125	27.988558	-418.0	-500.0	481.5	-80.12609	13.596569	-24.440533	-95.77555	24000	0.039098527	0.039098527	0.0062482795	-0.0008991394	353.35315	0.0	-52.506256	1.0893127	1.013279e-09	4.938758134841919
6	-500.0	0.0	-500.0	-500.0	500.0	-78.40529	17.134363	2.5688238	-99.828835	28000	0.07698426	0.07698426	0.015289811	-0.0056938087	431.61902	0.0	-69.770386	1.0890722	-7.4505804e-11	5.591979026794434
7	-497.625	6.2836595	-481.0	-500.0	497.75	-84.8924	12.272091	-42.37516	-98.457794	32000	0.06448456	0.06448456	0.013171145	0.00014323926	354.9722	0.0	-71.61508	1.0881857	7.301569e-10	6.24609375
8	-491.25	23.150324	-430.0	-500.0	491.375	-70.7032	22.660898	1.1548376	-96.67537	36000	0.10052211	0.10052211	0.013800476	-0.012703556	488.6377	0.0	-199.07141	1.0881958	-3.2782554e-10	6.889852046966553
9	-458.25	72.31312	-333.0	-500.0	458.5	-84.86723	14.272147	-22.00951	-98.17521	40000	0.06781625	0.06781625	0.019299187	-0.0014500621	360.00314	0.0	-68.65393	1.087186	-2.384186e-10	7.521163463592529
