Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	24.763975	13.444394	76.0	10.0	24.763975	0.12029064	0.0807302	0.28724802	-0.15099432	4000	0.1414205	0.1414205	0.0024445506	-0.010705136	318.29608	0.0	-239.17749	0.6896953	-1.11758706e-10	1.2460107803344727
1	24.30675	15.15091	97.0	8.0	24.30675	14.602835	5.0379806	20.155024	1.8016866	8000	0.16319072	0.16319072	0.026726373	-0.017387962	102.33288	0.0	-12.385162	0.6888562	-7.8231094e-10	1.7116601467132568
2	28.276596	14.935371	68.0	8.0	28.276596	15.785607	6.238032	23.433933	1.4742213	12000	0.1939623	0.1939623	0.04090819	-0.020265795	76.54564	0.0	-6.583313	0.6884515	-1.0207295e-09	2.1504409313201904
3	26.430464	14.25246	104.0	9.0	26.430464	15.647981	7.150849	24.150093	0.94533235	16000	0.16825794	0.16825794	0.037404675	-0.023829713	80.258064	0.0	-7.4105606	0.6866613	1.1697412e-09	2.583118438720703
4	27.76389	15.031443	73.0	9.0	27.76389	15.156994	6.7995825	26.033241	0.67088	20000	0.18435001	0.18435001	0.041194886	-0.028255928	81.07713	0.0	-8.442398	0.68493295	-9.313226e-10	3.027820110321045
5	27.383562	16.05993	119.0	9.0	27.383562	15.881682	7.014299	25.423382	0.6240742	24000	0.17765835	0.17765835	0.032448296	-0.029182034	95.35753	0.0	-6.0139465	0.68336695	-7.4505804e-11	3.4907305240631104
6	28.464285	17.030397	102.0	9.0	28.464285	16.073893	7.2468157	26.124727	0.20430577	28000	0.17342784	0.17342784	0.037513826	-0.031939648	113.61375	0.0	-7.785576	0.6812193	-4.4703484e-11	3.938725471496582
7	31.338583	20.210787	136.0	9.0	31.338583	17.291325	6.8013487	24.260405	0.4701928	32000	0.1524177	0.1524177	0.025402311	-0.02949115	147.73076	0.0	-7.1128387	0.680978	1.4901162e-11	4.390001058578491
8	29.755726	14.888948	86.0	9.0	29.755726	18.53239	7.7061853	27.280815	0.21037191	36000	0.1594526	0.1594526	0.025448663	-0.0351128	95.710686	0.0	-4.0078506	0.67894065	-2.4586916e-10	4.841763257980347
9	33.008263	21.154095	166.0	9.0	33.008263	17.40532	7.1620517	26.318687	0.3122527	40000	0.14880386	0.14880386	0.026276661	-0.032392506	167.13608	0.0	-13.076447	0.6784934	9.685755e-11	5.2805914878845215
