Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	21.374332	11.610385	77.0	9.0	21.374332	-0.25855553	0.06649676	-0.034647807	-0.43388015	4000	0.15396133	0.15396133	0.0028189542	0.006517939	260.74176	0.0	-202.7071	0.68870753	7.8976153e-10	1.2366843223571777
1	22.122223	11.2035	76.0	9.0	22.122223	13.106461	5.0194154	19.802742	1.5785446	8000	0.20153098	0.20153098	0.034615494	0.0048317453	56.35474	0.0	-7.147339	0.6899737	-8.9406965e-10	1.6850614547729492
2	23.662722	13.835418	105.0	9.0	23.662722	13.38325	5.4659104	20.492138	1.3282528	12000	0.20816402	0.20816402	0.043825623	0.0014504489	78.10617	0.0	-4.628746	0.6907696	5.811453e-10	2.12821888923645
3	22.318436	11.139754	68.0	9.0	22.318436	14.207946	6.431003	22.833792	1.0159749	16000	0.19095047	0.19095047	0.036884926	-0.006308387	51.246605	0.0	-4.619385	0.69107294	6.109476e-10	2.5791566371917725
4	23.868263	11.594212	66.0	8.0	23.868263	13.398901	5.9129314	20.216642	0.8574604	20000	0.21265414	0.21265414	0.045537844	-0.0062900637	49.241013	0.0	-1.2438545	0.69066834	4.4703483e-10	3.021164655685425
5	24.782608	14.173151	96.0	8.0	24.782608	13.586222	6.1482725	21.73348	0.28795978	24000	0.18714213	0.18714213	0.038258728	-0.010973921	79.231514	0.0	-3.73143	0.6903533	4.4703483e-10	3.4872586727142334
6	24.98125	13.57455	99.0	9.0	24.98125	14.898579	6.691672	22.610106	0.5242599	28000	0.18949367	0.18949367	0.036464203	-0.01567277	70.82463	0.0	-0.80350494	0.68954986	-6.4074995e-10	3.940312623977661
7	26.45033	14.7593	103.0	9.0	26.45033	15.389578	6.6659617	22.643385	0.08509013	32000	0.18818331	0.18818331	0.03489858	-0.017606067	82.81432	0.0	-1.7649155	0.6881509	-1.1101365e-09	4.382929563522339
8	24.288343	12.390242	63.0	9.0	24.288343	15.059296	7.1555815	23.916512	0.4841995	36000	0.18484943	0.18484943	0.033551604	-0.020920599	57.139473	0.0	-2.3989258	0.68676555	-6.705523e-10	4.85282039642334
9	27.506945	15.196399	99.0	9.0	27.506945	14.306427	6.216862	22.127924	0.36522958	40000	0.17010464	0.17010464	0.034482166	-0.022092689	90.997734	0.0	-4.6081543	0.6859779	5.662441e-10	5.319260358810425
10	26.758389	13.359084	73.0	11.0	26.758389	15.930373	7.110767	23.499168	0.4590678	44000	0.17846762	0.17846762	0.03164325	-0.027940478	62.37908	0.0	-1.6471481	0.684453	-5.5134297e-10	5.779340505599976
11	27.83916	15.354847	82.0	11.0	27.83916	15.094032	6.973309	23.930868	0.12534109	48000	0.15755332	0.15755332	0.033549644	-0.02586392	85.37879	0.0	-1.9734268	0.68278605	2.5331975e-10	6.233505725860596
12	29.496296	16.002256	76.0	9.0	29.496296	16.674603	7.1533375	24.358828	0.06577012	52000	0.16282648	0.16282648	0.03146801	-0.028836245	78.88601	0.0	-1.7426376	0.6818563	9.387732e-10	6.700611591339111
13	28.875912	16.49262	101.0	10.0	28.875912	16.87979	7.5356293	25.289848	0.5617645	56000	0.15646628	0.15646628	0.030658273	-0.030539505	94.20669	0.0	-1.766655	0.6794598	-6.4074995e-10	7.16940712928772
14	30.274809	16.419619	96.0	9.0	30.274809	17.246992	7.482796	24.961407	-0.2523238	60000	0.16784917	0.16784917	0.026463296	-0.034311958	86.91604	0.0	-0.71982574	0.6777289	-4.61936e-10	7.626001596450806
15	28.963768	15.209842	85.0	8.0	28.963768	16.845942	7.902972	25.899147	0.14302206	64000	0.17013678	0.17013678	0.029371241	-0.036621723	82.87848	0.0	-4.6987	0.6753466	5.960465e-11	8.066082239151001
16	31.401575	17.690365	96.0	10.0	31.401575	17.320965	7.224615	26.508266	-0.8321905	68000	0.14721239	0.14721239	0.02872294	-0.03412717	105.48794	0.0	-5.5829086	0.6738848	2.30968e-10	8.50553560256958
17	32.439026	16.573141	109.0	10.0	32.439026	17.834942	7.682421	26.58728	-0.115902096	72000	0.13932629	0.13932629	0.024956422	-0.03401125	91.65958	0.0	0.3456421	0.6740355	2.4586916e-10	8.940789699554443
18	37.622643	21.258274	103.0	10.0	37.622643	18.317015	7.747361	27.426477	0.31740686	76000	0.14942859	0.14942859	0.03217159	-0.035232496	135.56593	0.0	-9.719696	0.67145544	-2.7567149e-10	9.389211177825928
