Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-208.96033	150.3772	5.7723236	-604.7622	94.14286	-0.18401767	0.033696573	0.1719177	-0.37338266	4000	0.06513602	0.06513602	0.023734178	0.0061119585	19205.402	0.0	-15737.479	1.3781283	8.046627e-10	1.6070144176483154
1	-245.47198	149.37306	-24.897104	-579.5951	96.29269	-98.365654	45.738365	66.385666	-188.31583	8000	0.06903786	0.06903786	0.064333	0.0022485661	6681.128	0.0	-1432.8447	1.3784716	-8.940697e-11	2.3221542835235596
2	-189.78572	114.64381	-29.322714	-473.1207	101.64103	-124.86208	34.03318	-86.107994	-247.6012	12000	0.036402762	0.036402762	0.036932364	-0.0003152628	3591.1077	0.0	-1099.2876	1.3795749	-4.1723253e-10	3.007856845855713
3	-160.45863	104.79328	-16.10451	-492.4934	97.15	-100.61315	38.04943	-63.411697	-237.58539	16000	0.05787629	0.05787629	0.06391141	0.0039923615	3034.6003	0.0	-723.9839	1.3794997	-5.066395e-10	3.721935272216797
4	-180.33783	114.39965	17.860136	-438.54294	96.36585	-91.42201	35.365242	-50.069656	-200.93938	20000	0.04804572	0.04804572	0.003684991	0.00028872525	2005.385	0.0	-612.68933	1.3796664	-1.4901161e-10	4.404916048049927
5	-214.79611	105.77199	-65.9887	-429.64346	93.57143	-104.418564	36.145603	-35.73311	-216.57196	24000	0.06201941	0.06201941	0.08922656	0.0018351448	2060.183	0.0	-1123.0116	1.379551	1.192093e-10	5.11590313911438
6	-170.76508	92.577896	-33.214783	-432.1862	95.68293	-111.62094	34.817966	-69.09573	-211.14845	28000	0.05639119	0.05639119	0.049329955	0.0027034984	2491.903	0.0	-1210.2373	1.379665	-1.6391277e-09	5.832282304763794
7	-194.145	105.766335	-55.892277	-414.69003	94.02381	-103.96748	46.844864	-50.61018	-203.9255	32000	0.109270014	0.109270014	0.09649803	0.005481985	1263.9445	0.0	-548.49945	1.3797839	8.642673e-10	6.515244483947754
8	-201.34335	136.02312	40.102127	-524.5694	93.7381	-123.287544	48.737038	-42.7094	-231.34102	36000	0.07494983	0.07494983	0.07325932	0.0037874684	3438.4727	0.0	-1417.1754	1.3799415	8.3446505e-10	7.237631559371948
9	-164.03069	100.2256	-0.08918541	-404.72186	101.28205	-92.01046	45.028	-46.459362	-234.30098	40000	0.052798815	0.052798815	0.021543173	0.0018966468	2716.0935	0.0	-1350.4437	1.3807976	9.536744e-10	7.978488445281982
10	-230.61583	128.71324	-20.570543	-508.18134	97.36585	-94.52472	42.524754	13.562609	-229.6557	44000	0.055839628	0.055839628	0.063205555	0.0030252652	3041.0754	0.0	-1327.6472	1.3808225	1.2218953e-09	8.667962789535522
11	-177.5428	101.1681	-22.850769	-430.64636	88.46667	-90.160095	41.862373	-39.873695	-250.59377	48000	0.050163712	0.050163712	0.046998836	-0.002072904	1427.69	0.0	-611.3536	1.3815774	-5.960465e-11	9.364042043685913
12	-184.62463	92.27682	-45.15462	-423.3254	94.90476	-103.36905	39.01719	-36.741203	-213.90973	52000	0.04069645	0.04069645	0.01500242	0.0005354581	1798.9022	0.0	-803.4454	1.3814211	-1.1920929e-09	10.049989461898804
13	-172.88773	122.93574	1.3366007	-493.11917	94.309525	-95.21781	40.1909	-6.312311	-235.82976	56000	0.06894189	0.06894189	0.03474716	0.001930054	3046.0342	0.0	-1392.2206	1.3811737	-1.0430813e-09	10.740186214447021
14	-210.0796	116.08333	29.038076	-457.15677	102.28205	-96.34774	45.189384	5.222849	-250.31828	60000	0.04647635	0.04647635	0.036998536	-0.0014470501	2564.637	0.0	-1337.2148	1.38214	-9.23872e-10	11.425981044769287
15	-180.99858	110.724106	-1.328958	-432.3616	97.825	-95.15855	40.27837	-44.236996	-228.27434	64000	0.05201791	0.05201791	0.050564412	0.0017945152	1985.1433	0.0	-732.1987	1.3823917	1.7881394e-10	12.146206378936768
16	-187.1408	107.746056	-26.022554	-460.55856	101.61539	-100.77713	38.439735	-30.98175	-217.36469	68000	0.041180775	0.041180775	0.033826586	-0.00097052	2197.9167	0.0	-895.57214	1.3823899	-5.9604643e-10	12.840258836746216
17	-165.67908	103.92236	31.122435	-453.8756	104.0	-87.38763	41.068645	-45.212303	-226.551	72000	0.062017918	0.062017918	0.055877805	0.0003016801	2849.6294	0.0	-1232.2761	1.3821768	1.1920929e-09	13.549737215042114
18	-203.83562	118.82572	24.2484	-462.39883	102.02564	-96.69184	47.013443	-35.53466	-226.52243	76000	0.07029007	0.07029007	0.061859734	0.0021638242	3113.3381	0.0	-1461.2694	1.3821809	2.6226044e-09	14.24490737915039
19	-179.40742	121.21525	30.815504	-513.79065	95.68293	-92.34287	40.8629	-25.093025	-242.79198	80000	0.051204	0.051204	0.047699098	-0.00018696928	2996.654	0.0	-1918.6873	1.3825376	-2.682209e-10	14.974388837814331
20	-211.40268	114.98914	-46.857136	-445.18448	99.225	-107.64494	44.826244	-40.713287	-253.75792	84000	0.060542207	0.060542207	0.057352036	-0.001073158	2392.0657	0.0	-1298.2485	1.3829172	-1.7881394e-10	15.698924779891968
21	-164.68047	98.64556	19.14296	-404.3054	91.34884	-99.83131	42.109463	-45.648903	-210.85704	88000	0.040135805	0.040135805	0.042442143	-0.0016989093	1524.2985	0.0	-552.1971	1.3828824	-1.0430813e-09	16.424211263656616
22	-180.09807	89.200066	-46.385853	-385.98975	95.29269	-97.8237	45.68066	-22.821291	-244.04623	92000	0.07177755	0.07177755	0.06905549	-0.0003584559	1814.3167	0.0	-884.3099	1.3827951	-3.2782554e-10	17.115501642227173
23	-155.93903	107.640526	11.594827	-471.9026	90.84091	-90.30789	35.316483	-16.87104	-196.89854	96000	0.028249305	0.028249305	0.015427013	-0.0027931721	3197.1494	0.0	-1111.8545	1.3829286	1.4901161e-10	17.822453022003174
24	-191.9368	125.36668	-52.535824	-580.08405	98.2	-67.041916	41.43037	6.033163	-202.68347	100000	0.035788417	0.035788417	0.0035620346	0.0014418059	4048.446	0.0	-3015.276	1.3831093	4.768372e-10	18.539550065994263
25	-187.4728	129.66731	4.5923953	-485.5822	95.0	-101.402176	35.105484	-44.306793	-251.99564	104000	0.026555741	0.026555741	0.028770389	-0.002710989	4392.962	0.0	-2270.0903	1.38326	-1.1026859e-09	19.224817752838135
