Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-196.06535	118.08209	10.306926	-410.51465	96.07317	-0.1202977	0.09569107	0.14142849	-0.4738231	4000	0.03270548	0.03270548	0.009107968	-0.0004893557	14864.579	0.0	-11276.682	1.3832865	8.940697e-11	1.6307506561279297
1	-178.95953	101.72153	31.151188	-508.10513	97.07317	-102.79557	11.774374	-29.233833	-116.49895	8000	0.051894724	0.051894724	0.05239077	-0.0013559295	2723.099	0.0	-481.5979	1.3829361	2.0861626e-10	2.330111026763916
2	-159.23271	93.06218	-9.475963	-390.81824	86.45652	-85.72627	16.881268	-2.8675742	-139.71594	12000	0.043583497	0.043583497	0.04322451	-0.0014744374	2185.908	0.0	-685.3844	1.3837067	7.4505807e-10	3.0052576065063477
3	-183.61438	117.41034	6.9571543	-525.9119	98.15	-102.81014	33.442726	-72.594376	-151.3226	16000	0.08113957	0.08113957	0.07506194	0.0018290712	2617.7688	0.0	-383.73486	1.3834573	-5.960465e-11	3.7129435539245605
4	-203.43898	102.267494	-71.19692	-443.91183	102.25641	-109.7202	40.174877	-66.91339	-177.4293	20000	0.075306915	0.075306915	0.06830606	-0.0006096285	2380.9165	0.0	-462.2246	1.3832381	2.682209e-10	4.456692695617676
5	-178.76349	110.75407	-38.122475	-414.43356	97.0	-105.8177	30.28386	-76.689476	-185.51495	24000	0.06687299	0.06687299	0.06753938	-0.0019018891	2816.6885	0.0	-763.53784	1.3836111	-1.4305115e-09	5.1460182666778564
6	-164.78763	98.67389	-52.28186	-459.08716	96.268295	-87.608315	33.26138	-26.735022	-198.0261	28000	0.06324982	0.06324982	0.041686732	-0.0034593113	1738.533	0.0	-806.8365	1.3836826	1.1622906e-09	5.843713045120239
7	-160.54028	78.00361	7.998284	-407.7952	95.70731	-95.71221	38.04374	-60.561584	-186.73398	32000	0.04006822	0.04006822	0.041047577	-0.0026319048	1472.1073	0.0	-706.90594	1.383275	-8.9406965e-10	6.525964975357056
8	-159.78752	92.671844	-21.545052	-434.53604	88.31111	-92.89972	34.496475	-38.115482	-192.5745	36000	0.07409909	0.07409909	0.0708847	-0.0048992154	1707.8552	0.0	182.86438	1.3833923	8.9406965e-10	7.221456050872803
9	-195.55695	106.39758	67.1706	-444.50574	128.09677	-70.67438	22.272852	18.259958	-150.65851	40000	0.035656366	0.035656366	0.010714311	-0.002523632	4677.2744	0.0	-2169.5723	1.3834946	-6.2584876e-10	8.193344831466675
