Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	24.604939	13.465254	85.0	9.0	24.604939	0.11609406	0.0800007	0.28224325	-0.16422579	4000	0.14063293	0.14063293	0.063136816	-0.010548862	317.65756	0.0	-238.00983	0.6897579	3.874302e-10	1.225151777267456
1	25.703226	14.536794	126.0	8.0	25.703226	14.747672	4.9545484	21.936499	1.8939731	8000	0.15684386	0.15684386	0.15261698	-0.016335864	102.74637	0.0	-16.755371	0.68897927	1.4901162e-11	1.6703543663024902
2	27.551723	16.849815	116.0	10.0	27.551723	15.31873	6.148621	25.221611	1.2569121	12000	0.1918006	0.1918006	0.19815673	-0.019010609	106.05572	0.0	-4.9726486	0.6885191	-4.4703483e-10	2.1134753227233887
3	26.486666	16.210588	119.0	10.0	26.486666	16.438314	7.269974	26.741365	1.130816	16000	0.16465002	0.16465002	0.14542948	-0.023366379	112.32456	0.0	-9.631981	0.6867273	-7.0035455e-10	2.564852714538574
4	29.392593	18.63334	124.0	8.0	29.392593	16.598368	6.730076	25.352142	1.2239273	20000	0.16043934	0.16043934	0.14856054	-0.024708355	137.64339	0.0	-12.89312	0.68586683	-2.0116568e-10	3.0267233848571777
5	28.392857	17.340168	123.0	10.0	28.392857	16.621227	7.319106	31.859995	0.32919222	24000	0.15665837	0.15665837	0.36987412	-0.025851764	123.79076	0.0	-8.018028	0.684005	-3.3527614e-10	3.4968724250793457
6	28.97826	14.962982	100.0	10.0	28.97826	15.488207	6.945771	28.066114	-0.5780663	28000	0.17196304	0.17196304	0.18604548	-0.032405667	86.0812	0.0	-8.228424	0.6822035	-1.7881394e-10	3.9460384845733643
7	30.875969	20.199398	123.0	9.0	30.875969	16.928719	6.9096236	27.85832	0.9376466	32000	0.14307374	0.14307374	0.13983564	-0.028079022	155.73003	0.0	-12.512421	0.68091035	-6.0349703e-10	4.397808790206909
8	32.096775	20.769247	152.0	10.0	32.096775	18.717215	7.360623	26.094057	0.7004905	36000	0.1485413	0.1485413	0.14661671	-0.030950973	150.902	0.0	-7.8723297	0.68042517	2.9057265e-10	4.860125303268433
9	30.419847	15.2225	89.0	8.0	30.419847	18.594608	8.325011	27.636204	0.7760873	40000	0.16142319	0.16142319	0.112651445	-0.03697857	84.43815	0.0	-6.2191467	0.67832273	-3.1292438e-10	5.309535264968872
