Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	25.126583	15.153114	93.0	8.0	25.126583	-0.083624035	0.066157795	0.14039654	-0.2801841	4000	0.14228141	0.14228141	0.16592492	-0.005319874	373.5901	0.0	-272.6272	0.6914789	-4.1723253e-10	1.22977614402771
1	25.177216	15.095695	105.0	9.0	25.177216	15.414114	5.3542156	23.166176	1.2953095	8000	0.18162443	0.18162443	0.17010184	-0.010909248	97.39786	0.0	-10.618065	0.6908912	-2.5331975e-10	1.6759748458862305
2	24.95	13.929195	98.0	8.0	24.95	15.32335	6.405636	24.8201	1.0353673	12000	0.20618737	0.20618737	0.17055185	-0.015449713	76.51328	0.0	-3.6707687	0.68943006	4.917383e-10	2.1216681003570557
3	25.119497	14.363372	101.0	8.0	25.119497	14.964425	6.433685	22.375729	0.9600462	16000	0.1948579	0.1948579	0.20445454	-0.019044526	83.11454	0.0	-2.2102127	0.68790907	8.568168e-10	2.617476463317871
4	27.406897	14.911461	89.0	9.0	27.406897	13.602869	6.5067997	25.251078	-0.015828311	20000	0.18719454	0.18719454	0.0539781	-0.020942535	89.3176	0.0	-10.18866	0.68644917	4.991889e-10	3.064072608947754
5	26.711409	15.660532	113.0	9.0	26.711409	15.865976	6.881055	24.998121	0.7197267	24000	0.18859224	0.18859224	0.18482596	-0.025097372	90.17696	0.0	-2.2576065	0.6843729	-1.0058284e-09	3.543219566345215
6	27.93007	14.984212	83.0	9.0	27.93007	16.497116	7.6215787	24.580338	0.31771562	28000	0.18058626	0.18058626	0.15863958	-0.026660698	77.37395	0.0	-2.0853043	0.6826651	-5.066395e-10	3.996797800064087
7	29.145985	15.585667	79.0	10.0	29.145985	16.092863	7.1274676	24.33227	0.70395434	32000	0.1820529	0.1820529	0.17706682	-0.029773038	80.38065	0.0	-1.7999802	0.68072253	-2.682209e-10	4.448419570922852
8	28.564285	14.845977	73.0	11.0	28.564285	16.218838	7.5932274	24.890009	0.57533395	36000	0.20160401	0.20160401	0.19734445	-0.032369066	75.20566	0.0	-1.4425049	0.67794234	-4.917383e-10	4.8782057762146
9	32.95868	18.83438	109.0	11.0	32.95868	16.646772	6.9820504	24.356936	0.7011446	40000	0.16718876	0.16718876	0.16291852	-0.032189477	116.508804	0.0	-6.9161377	0.6760753	-8.1956386e-11	5.310948848724365
