Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-500.0	0.0	-500.0	-500.0	500.0	-0.009918097	0.24452206	0.5426774	-0.6976731	4000	0.036763676	0.036763676	0.0071605807	-0.001201487	7050.672	0.0	-6583.7744	1.0891753	-8.9406965e-10	1.6592559814453125
1	-482.625	45.96993	-361.0	-500.0	482.75	-81.75103	9.742362	-38.544666	-93.62854	8000	0.037477512	0.037477512	0.03732774	-0.00017401368	469.83344	0.0	-84.62793	1.089228	-3.5762787e-10	2.3030033111572266
2	-474.625	43.9515	-398.0	-500.0	474.875	-79.11224	14.71809	45.525497	-95.282936	12000	0.045492597	0.045492597	0.040095504	0.0008619795	378.81342	0.0	-86.09903	1.0892771	1.7434358e-09	2.9422693252563477
3	-500.0	0.0	-500.0	-500.0	500.0	-78.07234	16.561928	-8.581653	-93.92744	16000	0.050041694	0.050041694	0.04950245	-0.000958284	350.46066	0.0	-54.863617	1.089271	9.834766e-10	3.5703651905059814
4	-500.0	0.0	-500.0	-500.0	500.0	-83.23309	15.397698	-26.890877	-97.80298	20000	0.032209773	0.032209773	0.002517744	-0.0013238706	507.24033	0.0	-81.98282	1.0893046	2.9802324e-11	4.222496032714844
5	-482.5	41.949375	-372.0	-500.0	482.75	-82.27641	12.608702	2.7040215	-99.17012	24000	0.056746133	0.056746133	0.047694586	-0.003925195	379.67664	0.0	-60.91092	1.0887384	1.1175871e-09	4.889054775238037
6	-460.375	72.79069	-293.0	-500.0	460.625	-81.04404	14.639482	-9.183259	-97.38211	28000	0.089423314	0.089423314	0.079945326	-0.003198819	367.87476	0.0	-60.974792	1.0885969	-2.8908254e-09	5.519008159637451
7	-500.0	0.0	-500.0	-500.0	500.0	-78.18692	20.109741	17.807339	-98.14196	32000	0.057219267	0.057219267	0.05646789	-0.0050454815	381.5771	0.0	-129.50945	1.0888913	-4.4703483e-10	6.162106513977051
8	-496.875	5.861687	-483.0	-500.0	497.125	-76.2307	21.086742	-7.3891683	-95.69964	36000	0.06933546	0.06933546	0.06670538	-0.0036124818	371.57294	0.0	-124.63396	1.0870875	-1.3262034e-09	6.804654598236084
9	-496.375	9.590849	-471.0	-500.0	496.5	-80.77742	16.558302	-19.529705	-98.025795	40000	0.07249935	0.07249935	0.07790895	0.0010015289	371.60907	0.0	-98.52072	1.087598	-2.2798776e-09	7.455790042877197
