Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-485.625	38.032677	-385.0	-500.0	485.75	-0.0076326514	0.20671982	0.5579748	-0.6836227	4000	0.05110663	0.05110663	0.013742048	0.0029259974	6827.5	0.0	-6374.6147	1.0893139	-5.066395e-10	1.6395976543426514
1	-500.0	0.0	-500.0	-500.0	500.0	-76.966705	15.426258	39.260715	-88.01482	8000	0.06342556	0.06342556	0.055277567	-0.0016952753	654.36035	0.0	-184.61096	1.0896122	1.2665987e-09	2.2624642848968506
2	-468.875	56.025524	-345.0	-500.0	469.125	-78.21681	11.595301	68.420784	-89.9412	12000	0.05446079	0.05446079	0.054328497	-0.0030976052	465.59985	0.0	-88.97406	1.0889854	1.0877848e-09	2.9113423824310303
3	-467.375	58.401493	-340.0	-500.0	467.625	-77.30462	12.791844	-13.939843	-92.85025	16000	0.08939703	0.08939703	0.0801249	-0.0014733276	444.045	0.0	-56.41501	1.0887043	-4.1723253e-10	3.5428037643432617
4	-486.875	34.725487	-395.0	-500.0	487.0	-82.552124	10.089509	-30.068996	-93.92979	20000	0.034989636	0.034989636	0.034300968	-0.0026205585	480.7817	0.0	-52.478577	1.0887686	-8.493662e-10	4.186614513397217
5	-481.75	25.32168	-432.0	-500.0	482.125	-79.52321	15.369306	1.4472923	-96.517136	24000	0.058854897	0.058854897	0.054473322	-0.0057738945	311.15265	0.0	-61.587463	1.0881355	-1.192093e-10	4.853806972503662
6	-475.25	36.399693	-394.0	-500.0	475.625	-68.06897	23.033756	61.16135	-95.87331	28000	0.10838455	0.10838455	0.051031213	-0.007043945	482.44476	0.0	-251.13599	1.0871564	-1.4901161e-10	5.4812586307525635
7	-497.375	6.945097	-479.0	-500.0	497.5	-84.7885	15.688675	-23.753216	-98.425804	32000	0.039485514	0.039485514	0.034089975	-0.0025575934	373.83087	0.0	-103.16043	1.086991	4.4703484e-11	6.142167806625366
8	-439.5	66.85432	-302.0	-500.0	440.125	-74.68102	23.4836	23.91217	-98.3761	36000	0.08216065	0.08216065	0.07146685	0.00013382579	354.12363	0.0	-108.70274	1.0858991	1.6391277e-10	6.778675317764282
9	-456.875	87.63195	-235.0	-500.0	457.25	-80.46267	18.347908	-3.5802321	-97.88024	40000	0.09264169	0.09264169	0.11474493	-0.008553407	374.9117	0.0	-108.73218	1.0862823	3.5762787e-10	7.402247190475464
10	-477.625	34.546844	-416.0	-500.0	478.0	-77.54972	20.487673	21.087242	-98.022675	44000	0.08938184	0.08938184	0.063678265	-0.0056222742	367.83734	0.0	-131.93256	1.084517	-1.1324882e-09	8.044855833053589
11	-462.875	71.80779	-278.0	-500.0	463.25	-71.35891	22.893333	-6.382367	-97.08071	48000	0.05480224	0.05480224	0.031935908	-0.005660673	360.63626	0.0	-152.41013	1.0824189	-2.2798776e-09	8.697277784347534
