Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	StacGradNorm	VanillaGradNorm	ImplicitGradNorm	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-384.5	98.641014	-241.0	-500.0	385.2	-0.010885812	0.10337284	0.36379045	-0.32898933	4000	0.050838746	0.050838746	0.000851944	-0.010292332	6156.864	0.0	-5829.408	1.0497024	1.2814999e-09	1.6560039520263672
1	-377.7	53.48093	-288.0	-489.0	378.7	-74.053055	17.911152	-5.7522492	-100.011894	8000	0.093941055	0.093941055	0.006222451	-0.024175486	305.5813	0.0	-113.83516	1.0473591	-4.0233136e-10	2.2879884243011475
2	-408.77777	72.93647	-294.0	-500.0	409.55554	-78.38287	19.143074	-9.691139	-97.70489	12000	0.10291637	0.10291637	0.013187802	-0.02450485	248.5719	0.0	-14.575928	1.0470197	-5.5134297e-10	2.918994903564453
3	-388.5	77.664986	-270.0	-500.0	389.4	-79.05078	18.797731	-2.7217388	-97.50517	16000	0.0604003	0.0604003	0.014762324	-0.019402966	260.87512	0.0	-73.01111	1.0463506	-5.9604643e-10	3.5527586936950684
4	-347.54544	90.30994	-201.0	-500.0	348.36365	-75.01789	20.295502	-8.090828	-97.27835	20000	0.07617292	0.07617292	0.010390849	-0.021985065	269.2895	0.0	-35.025864	1.043332	-5.2154064e-10	4.204704761505127
5	-414.66666	86.972534	-241.0	-500.0	415.33334	-74.60339	22.947777	-4.2135267	-97.72102	24000	0.08668161	0.08668161	0.009055473	-0.021063507	237.97636	0.0	-78.17781	1.0450649	5.2154064e-10	4.875424861907959
6	-361.0909	112.82122	-164.0	-500.0	361.9091	-71.410126	23.201092	11.682315	-99.45457	28000	0.14894503	0.14894503	0.015787158	-0.041418146	260.64273	0.0	-51.398117	1.0385637	-1.5944243e-09	5.509402751922607
7	-352.45456	84.59998	-183.0	-478.0	353.45456	-77.336006	22.531641	-13.888037	-97.95444	32000	0.06385702	0.06385702	0.006452273	-0.024703648	196.58794	0.0	-56.3945	1.039396	7.4505804e-11	6.132382869720459
8	-375.2	96.69726	-210.0	-500.0	376.0	-70.28119	21.876513	-14.754923	-95.67484	36000	0.110346004	0.110346004	0.009937621	-0.027129661	238.05869	0.0	-42.666473	1.0329729	1.7881394e-10	6.787440299987793
9	-319.91666	77.843285	-202.0	-466.0	320.91666	-75.34861	22.523277	-12.550595	-97.574	40000	0.08646913	0.08646913	0.011625008	-0.037163276	174.39214	0.0	-52.3723	1.0328274	-5.811453e-10	7.4299633502960205
10	-284.7143	56.961678	-175.0	-434.0	285.7143	-70.46491	22.647099	-12.416538	-95.157394	44000	0.10142556	0.10142556	0.015578075	-0.03230544	169.04396	0.0	-36.16002	1.0290382	-4.4703484e-11	8.082066059112549
11	-302.53845	91.472244	-200.0	-500.0	303.46155	-71.862915	20.407774	-5.907237	-91.45934	48000	0.15619816	0.15619816	0.012490705	-0.04993448	266.1434	0.0	-33.06723	1.0281593	1.0877848e-09	8.706342935562134
12	-275.57144	86.27507	-167.0	-463.0	276.57144	-66.182014	23.84748	-1.1636887	-91.62032	52000	0.07007584	0.07007584	0.008897602	-0.038233668	163.9947	0.0	-35.645508	1.0225742	-9.834766e-10	9.362215757369995
13	-253.93333	53.900482	-149.0	-330.0	254.93333	-69.72163	22.254704	-8.139536	-93.362526	56000	0.08926737	0.08926737	0.015084092	-0.037312984	224.88324	0.0	-57.99591	1.0245968	-6.4074995e-10	9.996315002441406
14	-255.93333	69.112915	-165.0	-427.0	256.93332	-60.64081	23.90782	-1.6683068	-89.78908	60000	0.14561659	0.14561659	0.028800908	-0.021179512	257.08258	0.0	-57.170486	1.0152669	5.2154066e-11	10.62782883644104
15	-233.11765	38.325054	-180.0	-313.0	234.11765	-67.42429	21.847357	18.857853	-92.533424	64000	0.10086403	0.10086403	0.027707241	-0.04550111	175.61172	0.0	-52.799507	1.0136815	-1.5944243e-09	11.262279272079468
16	-243.3125	53.092747	-162.0	-374.0	244.3125	-58.312782	23.923576	0.34831333	-87.01726	68000	0.16346258	0.16346258	0.036241554	-0.0154982945	223.15005	0.0	-62.425476	1.0003667	4.917383e-10	11.905026912689209
17	-238.0625	63.785255	-148.0	-386.0	239.0625	-66.638794	21.295967	-5.4445696	-89.369385	72000	0.09275612	0.09275612	0.017550595	-0.017145535	225.06154	0.0	-73.75011	1.0031931	1.9073487e-09	12.556109428405762
18	-231.52942	58.29955	-153.0	-362.0	232.52942	-63.87094	21.90107	-10.300065	-87.5237	76000	0.0971689	0.0971689	0.010040708	-0.03675658	123.04694	0.0	-27.465042	1.0035757	-8.940697e-11	13.199728727340698
19	-225.11765	43.65895	-157.0	-291.0	226.11765	-58.499775	24.898752	7.0596323	-90.21568	80000	0.13635696	0.13635696	0.018247893	-0.05319415	161.42683	0.0	-31.286224	0.9936439	-1.6391277e-10	13.854342937469482
