Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	193.15	21.455246	200.0	112.0	193.15	56.88481	16.539356	82.257095	23.109322	120000	5.00679e-09	206.349	-0.0024176606	-46.030212	0.50053036	0.0037126965	0.01325	79.0	17.600325107574463
30	195.0	17.259779	200.0	123.0	195.0	63.246258	16.007597	83.63109	20.982946	124000	3.0994416e-09	300.78476	-0.006536625	-76.767105	0.50229365	0.0067351623	0.08075	79.0	18.178004026412964
31	198.7	5.6665683	200.0	174.0	198.7	59.611595	16.683407	81.23296	18.97025	128000	-8.34465e-09	323.11368	-0.0019495818	-54.180176	0.49253887	0.0047632847	0.019	79.0	18.748096704483032
32	196.7	14.384367	200.0	134.0	196.7	57.44649	16.50964	80.38882	16.303123	132000	-9.536744e-10	392.56345	-0.0025758338	-73.03488	0.49210238	0.003529625	0.037	79.0	19.317617416381836
33	200.0	0.0	200.0	200.0	200.0	53.59789	14.269833	79.9057	22.575987	136000	-2.5749207e-08	296.8267	-0.0012050648	-83.93857	0.4824446	0.0015650752	0.01275	79.0	19.879868745803833
34	200.0	0.0	200.0	200.0	200.0	61.47895	14.9334345	80.03068	16.57484	140000	5.722046e-09	305.71307	-0.0015868988	-76.94888	0.48768452	0.0033205512	0.01675	79.0	20.437777996063232
35	200.0	0.0	200.0	200.0	200.0	59.863262	19.210457	82.19013	13.095999	144000	-7.629395e-09	360.0193	-0.0047582304	-120.33389	0.482411	0.006470967	0.05475	79.0	20.996267080307007
36	200.0	0.0	200.0	200.0	200.0	55.99834	16.206116	80.423836	9.398018	148000	1.0490417e-08	290.8694	-0.0011448335	-38.02629	0.480411	0.0005592002	0.015	79.0	21.58511233329773
37	200.0	0.0	200.0	200.0	200.0	60.99072	19.8919	82.61649	10.665981	152000	-5.722046e-09	255.77301	-0.002060484	-42.36862	0.46543133	0.0062130135	0.02875	79.0	22.15428137779236
38	200.0	0.0	200.0	200.0	200.0	58.627945	18.678484	80.551	14.405597	156000	7.629395e-09	276.6167	-0.0018361054	-57.609146	0.4671638	0.00499169	0.03	79.0	22.724602699279785
39	200.0	0.0	200.0	200.0	200.0	56.94146	17.185873	77.47039	7.0628424	160000	-5.722046e-09	258.49594	-0.0017984133	-39.972565	0.46898085	0.0022376531	0.039	79.0	23.305397510528564
40	194.25	13.464305	200.0	153.0	194.25	56.75771	17.758577	79.55426	4.901413	164000	-6.0796737e-09	217.69026	-0.0022922654	-46.057816	0.47372222	0.006179838	0.03625	79.0	23.88094425201416
41	188.5238	19.891657	200.0	137.0	188.5238	55.37192	20.332684	81.83406	7.323197	168000	7.7486035e-09	169.71988	-0.005993164	-60.060547	0.4730656	0.006261873	0.051	79.0	24.45625901222229
42	177.36363	17.182299	200.0	144.0	177.36363	53.826015	22.875843	82.57586	3.844763	172000	7.390976e-09	77.52766	-0.0031805865	-31.849735	0.47372127	0.0024597668	0.0265	79.0	25.027080297470093
43	180.68182	24.307476	200.0	122.0	180.68182	58.479813	19.839642	83.0184	3.3185203	176000	9.536743e-09	149.1405	-0.002578895	-38.838135	0.4728049	0.0073853587	0.05075	79.0	25.601949453353882
44	190.19048	14.737768	200.0	154.0	190.19048	57.646183	19.266064	81.908516	-0.012207389	180000	-4.172325e-09	184.8248	-0.0032203852	-46.7464	0.45712766	0.005757887	0.04075	79.0	26.16270422935486
45	193.45	13.211643	200.0	155.0	193.45	56.65921	20.157698	78.66064	5.5339317	184000	-2.026558e-09	147.34518	-0.002209296	-31.39573	0.45090437	0.0030334143	0.025	79.0	26.72433614730835
46	194.75	14.459858	200.0	142.0	194.75	57.324375	20.344545	82.079025	8.760029	188000	-4.9471853e-09	183.42612	-0.001976324	-26.473648	0.44561678	-0.00035428608	0.01225	79.0	27.32663321495056
47	197.65	6.207052	200.0	176.0	197.65	59.435246	19.167774	80.28541	4.311764	192000	9.059906e-09	281.45853	-0.0018238091	-39.414215	0.42943713	0.00059850677	0.0145	79.0	27.906158924102783
48	198.95	4.5768437	200.0	179.0	198.95	49.190147	19.676542	78.80663	8.146357	196000	-1.1444092e-08	234.43056	-0.0016054068	-107.626335	0.4166375	0.002819566	0.02175	79.0	28.478909730911255
49	200.0	0.0	200.0	200.0	200.0	70.67989	11.649982	84.33537	27.8475	200000	9.536743e-09	509.89276	-0.002180995	-282.17877	0.39924762	0.004323112	0.025	79.0	29.056860208511353
